Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Height Height,Weight Weight,Birthplace Birthplace,Gender Gender,Instagram Instagram
Yura,Kim Ahyoung,김아영,유라,11/6/1992,Girl's Day,South Korea,168,49,Ulsan,F,yura_936
Minah,Bang Minah,방민아,민아,5/13/1993,Girl's Day,South Korea,165,47,Incheon,F,bbang_93
Hyeri,Lee Hyeri,이혜리,혜리,6/9/1994,Girl's Day,South Korea,167,46,Gwangju,F,hyeri_0609
Jea,Kim Hyojin,김효진,제아,9/18/1981,Brown Eyed Girls,South Korea,0,0,,F,jeaworld
Miryo,Jo Mihye,조미혜,미료,11/2/1981,Brown Eyed Girls,South Korea,0,0,,F,miryoakajohoney
Narsha,Park Hyojin,박효진,나르샤,12/28/1981,Brown Eyed Girls,South Korea,0,0,,F,narsha81
Gain,Son Gain,손가인,가인,9/20/1987,Brown Eyed Girls,South Korea,0,0,,F,songain87
Chorong,Park Chorong,박초롱,초롱,3/3/1991,Apink,South Korea,165,0,Chungwongoon,F,mulgokizary
Bomi,Yoon Bomi,윤보미,보미,8/13/1993,Apink,South Korea,163,0,Suwon,F,
Eunji,Jung Eunji,정은지,은지,8/18/1993,Apink,South Korea,163,0,Busan,F,artist_eunji
Naeun,Son Naeun,손나은,나은,2/10/1994,,South Korea,168,0,Seoul,F,marcella_the_naeun
Namjoo,Kim Namjoo,김남주,남주,4/15/1995,Apink,South Korea,165,0,Seoul,F,sarangdungy
Hayoung,Oh Hayoung,오하영,하영,7/19/1996,Apink,South Korea,167,0,Seoul,F,o_h_y_y
Solji,Heo Solji,허솔지,솔지,1/10/1989,EXID,South Korea,170,0,Seongnam,F,soul.g_heo
LE,Ahn Hyejin,안효진,엘리,12/10/1991,EXID,South Korea,168,0,Cheonan,F,x_xellybabyx
Hani,Ahn Hee-yeon,안희연,하니,5/1/1992,EXID,South Korea,168,0,Seoul,F,ahnhani_92
Hyerin,Seo Hyerin,서혜린,혜린,8/23/1993,EXID,South Korea,165,0,Gwangju,F,hyeliniseo
Junghwa,Park Junghwa,박정화,정화,5/8/1995,EXID,South Korea,169,0,Anyang,F,jeonghwa_0508
Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/1990,BESTie,South Korea,0,0,,F,hyeyeon_2
Uji,Jang Yuji,정유지,유지,1/2/1991,,South Korea,0,0,,F,yudi_didi
Dahye,Song Dahye,송다혜,다혜,6/12/1993,,South Korea,0,0,,F,dahye0612
Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,South Korea,0,0,,F,bestie_hr
Yubin,Kim Yubin,김유빈,유빈,10/4/1988,Wonder Girls,South Korea,163,0,Gwangju,F,
Yenny,Park Yeeun,박예은,예은,5/26/1989,Wonder Girls,South Korea,165,0,Goyang,F,hatfelt
Sunmi,Lee Sunmi,이선미,선미,5/2/1992,Wonder Girls,South Korea,167,0,Iksan,F,miyayeah
Hyerim,Woo Hyerim,우혜림,혜림,9/1/1992,Wonder Girls,South Korea,167,0,Seoul,F,wg_lim
Fei,Wang FeiFei,왕페이페이,페이,4/27/1987,miss A,China,165,0,Haikou,F,ff0427
Jia,Meng Jia,멍지아,지아,2/3/1989,miss A,China,166,0,Changja,F,mjbaby0203
Min,Lee Minyoung,이민영,민,6/21/1991,miss A,South Korea,161,0,Seoul,F,therealminnn
Suzy,Bae Suji,배수지,수지,10/10/1994,miss A,South Korea,168,0,Gwangju,F,skuukzky
Jamie,Park Jimin,박지민,박지민,7/5/1997,15&,South Korea,160,0,Junggu,F,jiminxjamie
Yerin,Baek Yerin,백예린,백예린,6/26/1997,15&,South Korea,165,0,Daejeon,F,yerinb
Jihyo,Park Jisoo,박지수,지효,2/1/1997,Twice,South Korea,162,0,Guri,F,
Nayeon,Im Nayeon,임나연,나연,9/22/1995,Twice,South Korea,163,0,Seoul,F,
Jeongyeon,Yoo Jeongyeon,유정연,정연,11/1/1996,Twice,South Korea,168,0,Suwon,F,
Momo,Hirai Momo,히라이 모모,모모,11/9/1996,Twice,Japan,167,0,Kyoto,F,
Sana,Minatozaki Sana,미나토자키 사나,사나,12/29/1996,Twice,Japan,168,0,Osaka,F,
Mina,Myoui Mina,묘이 미나,미나,3/24/1997,Twice,Japan,163,0,San Antonio,F,
Dahyun,Kim Dahyun,김다현,다현,5/28/1998,Twice,South Korea,165,0,Seongnam,F,
Chaeyoung,Son Chaeyoung,손채영,채영,4/23/1999,Twice,South Korea,159,0,Seoul,F,
Tzuyu,Chou Tzuyu,저우쯔위,쯔위,6/14/1999,Twice,Taiwan,169,0,Tainan,F,
Seunghee,Oh Seunghee,오승희,승희,10/10/1995,CLC,South Korea,163,0,Gwangju,F,
Yujin,Choi Yujin,최유진,유진,8/12/1996,Kep1er,South Korea,164,0,Jeonju,F,
Seungyeon,Jang Seunyeon,장승연,승연,11/6/1996,CLC,South Korea,163,0,Seongnam,F,
Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,11/18/1996,CLC,Thailand,164,0,Bangkok,F,
YeeEun,Jang Yeeun,장예은,예은,8/10/1998,CLC,South Korea,166,0,Dongducheon,F,
Hyuna,Moon Hyuna,문현아,현아,1/19/1987,,South Korea,172,50,Yeosu,F,moongom119
Euaerin,Lee Hyemin,이혜민,이유애린,5/3/1988,,South Korea,174,48,Seoul,F,
Sungah,Son Sungah,손성아,성아,7/8/1989,9Muses,South Korea,172,48,Suma,F,ssungahhbaby
Kyungri,Park Kyungri,박경리,경리,7/5/1990,9Muses,South Korea,170,50,Busan,F,gyeongree
Hyemi,Pyo Hyemi,표혜미,혜미,4/3/1991,9Muses,South Korea,171,46,Gwangju,F,pyopyohyemi
Minha,Park Minha,박민하,민하,6/27/1991,,South Korea,172,47,Seoul,F,blossomh_
Sojin,Jo Sojin,조소진,소진,10/11/1991,9Muses,South Korea,170,47,Gwangju,F,josojin_1011
Keumjo,Lee Keumjo,이금조,금조,12/17/1992,9Muses,South Korea,167,48,Daegu,F,keumjo_1217
Sowon,Kim Sojung,김소정,소원,12/7/1995,Gfriend,South Korea,172,0,Seoul,F,
Yerin,Jung Yerin,정예린,예린,8/19/1996,Gfriend,South Korea,167,0,Incheon,F,
Eunha,Jung Eunbi,정은비,은하,5/30/1997,VIVIZ,South Korea,163,0,Seoul,F,
Yuju,Choi Yuna,최유나,유주,10/4/1997,Gfriend,South Korea,169,0,Goyang,F,
SinB,Hwang Eunbi,황은비,신비,6/3/1998,VIVIZ,South Korea,165,0,Cheongju,F,
Umji,Kim Yewon,김예원,엄지,8/19/1998,VIVIZ,South Korea,163,0,Incheon,F,
Victoria,Song Qian,송치엔,빅토리아,2/2/1987,f(x),China,168,45,Qingdao,F,victoria02_02
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/1992,f(x),USA,167,0,Los Angeles,F,ajol_llama
Luna,Park Sunyoung,박선영,루나,8/12/1993,f(x),South Korea,162,0,Seoul,F,hermosavidaluna
Krystal,Krystal Jung,크리스탈 정,크리스탈,10/24/1994,f(x),South Korea,165,0,San Francisco,F,vousmevoyez
Irene,Bae Juhyun,배주현,아이린,3/29/1991,Red Velvet,South Korea,161,0,Daegu,F,
Seulgi,Kang Seulgi,강슬기,슬기,2/10/1994,Red Velvet,South Korea,162,0,Seoul,F,
Wendy,Son Seunghwan,손승완,웬디,2/21/1994,Red Velvet,South Korea,160,0,Seoul,F,
Joy,Park Sooyoung,박수영,조이,9/3/1996,Red Velvet,South Korea,163,0,Jeju,F,
Yeri,Kim Yerim,김예림,예리,3/5/1999,Red Velvet,South Korea,158,0,Seoul,F,
BoA,Kwon Boa,권보아,보아,11/5/1986,,South Korea,0,0,Guri,F,boakwon
Ailee,Lee Yejin,이예진,에일리,5/30/1989,,South Korea,165,0,Denver,F,aileeonline
G.NA,Gina Jane Choi,최지나,지나,9/13/1987,,Canada,167,0,Edmonton,F,missginachoi87
Taeha,Yoo Taeha,유태하,태하,10/5/1995,,South Korea,162,0,,F,
Seoyul,Seo Yuri,서유리,서율,11/26/1997,Berry Good,South Korea,163,0,,F,
Daye,Kim Hyunjung,김현정,다예,2/25/1998,Berry Good,South Korea,167,0,,F,
Sehyung,Kang Sehyung,강세형,세형,12/13/1998,Berry Good,South Korea,169,0,,F,
Gowoon,Moon Joojeong,문유정,고운,12/18/1998,Berry Good,South Korea,167,0,,F,
Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/1991,2EYES,South Korea,165,0,Seoul,F,baby_sook
Daeun,Jung Daeun,정다은,정다은,6/3/1994,2EYES,South Korea,161,0,Bucheon,F,da.ni_jung
Dasom,Lee Dasom,이다솜,다솜,11/13/1993,2EYES,South Korea,164,0,Cheongju,F,
Hyerin,Kim Hyerin,김혜린,혜린,6/13/1993,2EYES,South Korea,170,0,Seoul,F,hyelyn0723
IU,Lee Jieun,이지은,아이유,5/16/1993,,South Korea,162,0,Seoul,F,dlwlrma
Jei,Kim Jinhee,김진희,재이,9/5/1989,Fiestar,South Korea,162,0,Bucheon,F,kimjeii
Cao Lu,Cao Lu,차오루,차오루,8/30/1987,Fiestar,China,166,0,Zhangjiajie,F,better_me_lulu
Linzy,Im Minji,임민지,린지,10/22/1989,Fiestar,South Korea,168,0,Incheon,F,linzy_minji
Hyemi,Kim Hyemi,김혜미,혜미,8/10/1990,Fiestar,South Korea,161,0,Seoul,F,hyemi_haaaaam
Yezi,Lee Yeji,이예지,예지,8/26/1994,Fiestar,South Korea,161,0,Gangneung,F,-
Hana,Shin Bora,신보라,하나,4/30/1993,Gugudan,South Korea,0,0,,F,
Mimi,Jung Mimi,정미미,미미,1/1/1993,Gugudan,South Korea,163,0,,F,
Haebin,Han Haebin,한해빈,해빈,8/16/1995,Gugudan,South Korea,0,0,,F,
Nayoung,Kim Nayoung,김나영,나영,11/23/1995,Gugudan,South Korea,169,50,,F,
Sejeong,Kim Sejeong,김세정,세정,8/28/1996,Gugudan,South Korea,164,48,,F,
Sally,Liu Xiening,류셰닝,샐리,10/23/1996,Gugudan,China,0,0,Guangdong,F,
Soyee,Jang Sojin,장소진,소이,11/21/1996,Gugudan,South Korea,0,0,,F,
Mina,Kang Mina,강미나,미나,12/4/1999,Gugudan,South Korea,162,48,Icheon,F,
Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/2000,,South Korea,0,0,,F,
Hyojung,Choi Hyojung,최효정,효정,7/28/1994,Oh My Girl,South Korea,160,46,Yangyang,F,
JinE,Shin Hyejin,신혜진,진이,1/22/1995,,South Korea,160,48,Pohang,F,
Mimi,Kim Mihyun,김미현,미미,5/1/1995,Oh My Girl,South Korea,163,50,Jeju,F,
Yooa,Yoo Siah,유시아,유아,9/17/1995,Oh My Girl,South Korea,160,50,Seoul,F,
Seunghee,Hyun Seunghee,현승희,승희,1/25/1996,Oh My Girl,South Korea,160,48,Chuncheon,F,
Jiho,Kim Jiho,김지호,지호,4/4/1997,Oh My Girl,South Korea,165,49,Okcheon,F,
Yubin,Bae Yubin,배유빈,유빈,9/9/1997,Oh My Girl,South Korea,161,49,Chuncheon,F,
Arin,Choi Yewon,최예원,아린,6/18/1999,Oh My Girl,South Korea,163,47,Busan,F,
Babysoul,Lee Soojung,이수정,베이비소울,7/6/1992,Lovelyz,South Korea,158,41,Gwangju,F,
Jiae,Yoo Jiae,유지애,지애,5/21/1993,Lovelyz,South Korea,163,43,Seoul,F,
Jisoo,Seo Jisoo,서지수,지수,2/11/1994,Lovelyz,South Korea,165,46,Incheon,F,
Mijoo,Lee Mijoo,이미주,미주,9/23/1994,Lovelyz,South Korea,167,47,Okcheon,F,
Kei,Kim Jiyeon,김지연,케이,3/20/1995,Lovelyz,South Korea,162,47,Incheon,F,
JIN,Park Myungeun,박명은,진,6/12/1996,Lovelyz,South Korea,165,47,Busan,F,
Sujeong,Ryu Sujeong,류수정,수정,11/19/1997,Lovelyz,South Korea,168,48,Daejeon,F,
Yein,Jeong Yein,정예인,예인,6/4/1998,Lovelyz,South Korea,166,0,Incheon,F,
Yujeong,Kim Yujeong,김유정,유정,2/14/1992,,South Korea,161,42,Seoul,F,
Soyeon,Jung Soyeon,정소연,소연,5/4/1994,LABOUM,South Korea,161,44,Gwangju,F,
ZN,Bae Jinye,배진예,지엔,6/9/1994,LABOUM,South Korea,169,48,Bucheon,F,
Haein,Yeom Haein,염해인,해인,5/19/1995,LABOUM,South Korea,162,45,Ojeonggu,F,
Solbin,Ahn Solbin,안솔빈,솔빈,8/19/1997,LABOUM,South Korea,169,52,Ojeonggu,F,
Yulhee,Kim Yulhee,김율희,율희,11/27/1997,,South Korea,166,52,Bucheon,F,
Boram,Jeon Boram,전보람,보람,3/22/1986,,South Korea,155,45,Seoul,F,bo_ram_0322
Qri,Lee Jihyun,이지현,큐리,12/12/1986,T-ara,South Korea,162,44,Goyang,F,qtfreet
Soyeon,Park Soyeon,박소연,소연,10/5/1987,,South Korea,163,46,Andong,F,melodysoyani
Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,South Korea,167,47,Seoul,F,sweetgirl_eunjung
Hyomin,Park Sunyoung,박선영,효민,5/30/1989,T-ara,South Korea,167,43,Busan,F,hyominnn
Jiyeon,Park Jiyeon,박지연,지연,6/7/1993,T-ara,South Korea,167,45,Seoul,F,jiyeon2__
Solar,Kim Yongsun,김용선,솔라,2/21/1991,Mamamoo,South Korea,163,43,Seoul,F,
Moonbyul,Moon Byulyi,문별이,문별,12/22/1992,Mamamoo,South Korea,165,45,Bucheon,F,
Wheein,Jung Wheein,정휘인,휘인,4/17/1995,Mamamoo,South Korea,162,43,Jeonju,F,
Hwasa,Ahn Hyejin,안혜진,화사,7/23/1995,Mamamoo,South Korea,162,44,Jeonju,F,
Yeoeun,Jung Jieun,정지은,여은,1/25/1990,MELODYDAY,South Korea,169,0,,F,yeosilver
Yein,Ahn Yein,안예인,예인,5/4/1995,MELODYDAY,South Korea,168,0,,F,yen_thankful954
Chahee,Park Sooyoung,박수영,차희,3/24/1996,MELODYDAY,South Korea,167,0,,F,hichaheebye
Yoomin,Na Yoomin,나유민,유민,8/29/1993,MELODYDAY,South Korea,165,0,,F,im.umin
Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/1998,,Hong Kong,163,45,Hong Kong,F,
Eunbin,Kwon Eunbin,권은빈,은빈,1/6/2000,CLC,South Korea,167,48,Seoul,F,
Jisoo,Kim Jisoo,김지수,지수,1/3/1995,BLACKPINK,South Korea,162,45,Seoul,F,
Jennie,Kim Jennie,김제니,제니,1/16/1996,BLACKPINK,South Korea,163,50,Anyang,F,
Rosé,Roseanne Park,로잔느 박,로제,2/11/1997,BLACKPINK,South Korea,167,0,Auckland,F,
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,3/27/1997,BLACKPINK,Thailand,170,46,Bangkok,F,
Hyeji,Jeong Hyeji,정혜지,혜지,4/2/1992,4TEN,South Korea,0,0,Seoul,F,
Heeo,Gwak Heeoh,곽히오,히오,5/2/1994,4TEN,South Korea,0,0,,F,
Yoon,Heo Yoon,허윤,윤,9/23/1994,4TEN,South Korea,0,0,,F,
Hyejin,Baek Hyejin,백혜진,혜진,11/21/1996,4TEN,South Korea,0,0,Sacheon,F,
Uee,Kim Yujin,김유진,유이,4/9/1988,,South Korea,0,0,Daegu,F,
Raina,Oh Hyerin,오혜린,레이나,5/7/1989,After School,South Korea,0,0,Ulsan,F,raina_57
Nana,Im Jinah,임진아,나나,9/14/1991,After School,South Korea,0,0,Cheongju,F,jin_a_nana
Lizzy,Park Sooyoung,박수영,리지,7/31/1992,After School,South Korea,0,0,Busan,F,luvlyzzy
E-Young,Noh Yiyoung,노이영,이영,8/16/1992,After School,South Korea,0,0,Chuncheon,F,e_young0816
Kaeun,Lee Kaeun,이가은,가은,8/20/1994,After School,South Korea,0,0,Seoul,F,realkkaaanngg
Kahi,Park Jiyoung,박지영,가희,12/25/1980,,South Korea,0,0,Daegu,F,imisskahi
Jooyeon,Lee Jooyeon,이주연,주연,3/19/1987,,South Korea,0,0,Seoul,F,jupppal
Jungah,Kim Jungah,김정아,정아,8/2/1983,,South Korea,0,0,Incheon,F,i_am_jjunga
Soyoung,Yoo Soyoung,유소영,소영,3/29/1996,,South Korea,0,0,Seoul,F,ssossolovely
Bekah,Rebecca Kim,김레베카,베카,8/11/1989,,South Korea,0,0,Honolulu,F,
Chaewon,Kim Chaewon,김채원,채원,11/8/1997,APRIL,South Korea,0,0,Gongju,F,
Naeun,Lee Naeun,이나은,나은,5/5/1999,APRIL,South Korea,0,0,Daejeon,F,
Yena,Yang Yena,양예나,예나,5/22/2000,APRIL,South Korea,0,0,Daegu,F,
Jinsol,Lee Jinsol,이진솔,진솔,12/4/2001,APRIL,South Korea,0,0,Andong,F,
Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/1998,UNI.T,South Korea,0,0,Seoul,F,
Monika,Kang Yeh,강예,모니카,5/21/1991,BADKIZ,South Korea,0,0,Seoul,F,maygirl_nika
LuA,Jo Hankyeung,조한경,루아,9/14/1991,BADKIZ,South Korea,0,0,Busan,F,
K.Me,Na Miri,나미리,케이미,4/10/1992,BADKIZ,South Korea,0,0,Yeosu,F,k.me93
Somin,Jang Somin,장소민,소민,11/10/1993,BADKIZ,South Korea,0,0,Gwangmyeon,F,somin.92
U-Si,Yoo Jiyeon,윤지연,유시,11/13/1997,BADKIZ,South Korea,0,0,Iksan,F,_u_si
Gabin,Kim Gabin,김가빈,가빈,9/18/1989,Blady,South Korea,0,0,Busan,F,_kimgabin
Dayoung,Kim Dayoung,김다영,다영,2/2/1991,Blady,South Korea,0,0,Jeonju,F,loloola22_
Giru,Park Giru,박기루,기루,8/14/1991,Blady,South Korea,0,0,Incheon,F,giru_p
Tina,Christine Joy Park,크리스틴 조이 박,티나,9/1/1994,Blady,USA,0,0,Los Angeles,F,nuhmootina
Yeeun,Hwang Yeeun,황예은,예은,1/12/1997,Blady,South Korea,0,0,Gimhae,F,yeeuneeeee_
Minyoung,Kim Minyeong,김민영,민영,9/12/1990,Brave Girls,South Korea,0,0,Seongnam,F,
Yujeong,Nam Yujeong,남유정,유정,5/2/1991,Brave Girls,South Korea,0,0,Seoul,F,
Eunji,Hong Eunji,홍은지,은지,7/19/1992,Brave Girls,South Korea,0,0,Seoul,F,
Yoojin,Jang Yoojin,정유진,유진,9/14/1992,,South Korea,0,0,,F,yoojinbabe
Yuna,Lee Yuna,이유나,유나,4/6/1993,Brave Girls,South Korea,0,0,Seoul,F,
Hyeran,Noh Hyeran,노혜란,혜란,4/9/1993,,South Korea,0,0,,F,hrannnoh
Hayun,Lee Hayun,이하윤,하윤,8/29/1994,,South Korea,0,0,Changwon,F,hayoon.y
Bona,Kim Jiyeon,김지연,보나,8/19/1995,Cosmic Girls,South Korea,163,0,Daegu,F,
Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/1998,Cosmic Girls,China,167,0,Shenzhen,F,chengxiao_0715
Dayoung,Im Dayoung,임다영,다영,5/14/1999,Cosmic Girls,South Korea,161,0,Jeju,F,
Xuanyi,Wu Xuanyi,우쉬안이,선의,1/26/1995,Cosmic Girls,China,166,0,Hainan,F,
Eunseo,Son Juyeon,손주연,은서,5/27/1998,Cosmic Girls,South Korea,167,0,Incheon,F,_eunseo_v
Yeoreum,Lee Jinsook,이진숙,여름,1/10/1999,Cosmic Girls,South Korea,161,0,Seoul,F,
Seola,Kim Hyunjung,김현정,설아,12/24/1994,Cosmic Girls,South Korea,165,0,Seoul,F,seola_s
Exy,Chu Sojung,추소정,엑시,11/6/1995,Cosmic Girls,South Korea,166,0,Busan,F,exy_s2
Soobin,Park Soobin,박수빈,수빈,9/14/1996,Cosmic Girls,South Korea,159,0,Seoul,F,
Luda,Lee Luda,이루다,루다,3/6/1997,Cosmic Girls,South Korea,157,0,Seoul,F,
Dawon,Nam Dawon,남다원,다원,3/16/1997,Cosmic Girls,South Korea,167,0,Seoul,F,
Meiqi,Meng Meiqi,멍메이치,미기,10/15/1998,Cosmic Girls,China,164,0,Luoyang,F,
Yeonjung,Yu Yeonjung,유연정,연정,8/3/1999,Cosmic Girls,South Korea,167,52,Gwangmyeong,F,uyj_s
Geummi,Baek Boram,백보람,금미,6/18/1988,Crayon Pop,South Korea,165,0,Seoul,F,g.mi
Ellin,Kim Minyoung,김민영,엘린,4/2/1990,Crayon Pop,South Korea,165,44,Daegu,F,hiellin
Choa,Heo Minjin,허민진,초아,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,
Way,Heo Minsun,허민선,웨이,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,baysunny
Soyul,Park Hyekyeong,박혜경,소율,5/15/1991,Crayon Pop,South Korea,160,0,Seoul,F,
Hanna,Shin Jiyeon,신지연,한나,2/19/1994,MIXX,South Korea,170,48,,F,
Henny,Kang Gayoung,강가영,헤니,12/1/1994,,South Korea,168,50,,F,
Arie,Jeon Minjae,전민재,아리,4/7/2000,MIXX,South Korea,163,45,,F,
Liyah,Moon Liya,문리야,리야,5/11/2000,MIXX,South Korea,175,52,,F,
Jiu,Kim Minji,김민지,지유,5/17/1994,Dreamcatcher,South Korea,167,0,Daejeon,F,
Sua,Kim Bora,김보라,수아,8/10/1994,Dreamcatcher,South Korea,164,0,Changwon,F,
Siyeon,Lee Siyeon,이시연,시연,10/1/1995,Dreamcatcher,South Korea,170,0,Daegu,F,
Yoohyeon,Kim Yoohyeon,김유현,유현,1/7/1997,Dreamcatcher,South Korea,171,0,Incheon,F,
Dami,Lee Yoobin,이유빈,다미,3/7/1997,Dreamcatcher,South Korea,163,0,Seoul,F,
Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/1996,MOMOLAND,South Korea,165,44,Andong,F,
Yeonwoo,Lee Dabin,이다빈,연우,8/1/1996,,South Korea,170,49,Seoul,F,
Jane,Sung Jiyeon,성지연,제인,12/20/1997,MOMOLAND,South Korea,167,46,Changwon,F,
Nayun,Kim Nayun,김나윤,나윤,7/31/1998,MOMOLAND,South Korea,167,48,Seoul,F,
Joo E,Lee Joowon,이주원,주이,8/18/1999,MOMOLAND,South Korea,164,45,Bucheon,F,
AhIn,Lee Ahin,이아인,아인,9/27/1999,MOMOLAND,South Korea,160,44,Wonju,F,
Nancy,Nancy Mcdonie,낸시 맥다니,낸시,4/13/2000,MOMOLAND,South Korea,162,45,Daegu,F,
Sumin,Ji Sumin,지수민,수민,3/3/1994,Sonamoo,South Korea,168,0,Yongin,F,
Minjae,Seong Minjae,성민재,민재,12/18/1994,Sonamoo,South Korea,165,0,Busan,F,
D.ana,Cho Eunae,조은애,디애나,9/10/1995,Sonamoo,South Korea,170,0,Seoul,F,
Nahyun,Kim Nahyun,김나현,나현,12/9/1995,Sonamoo,South Korea,170,0,Seoul,F,
Euijin,Hong Euijin,홍의진,의진,10/8/1996,Sonamoo,South Korea,168,0,Gwangju,F,
High.D,Kim Dohee,김도희,하이디,12/21/1996,Sonamoo,South Korea,165,0,Suwon,F,
New Sun,Choi Yoonsun,최윤선,뉴썬,6/19/1997,Sonamoo,South Korea,172,0,,F,
T.O.P,Choi Seunghyun,최승현,탑,11/4/1987,BIGBANG,South Korea,180,65,Seoul,M,
Taeyang,Dong Youngbae,동영배,태양,5/18/1988,BIGBANG,South Korea,174,56,Uljeongbu,M,
G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/1988,BIGBANG,South Korea,177,58,Seoul,M,
Daesung,Daesung,강대성,대성,4/26/1989,BIGBANG,South Korea,178,63,Incheon,M,
Seungri,Lee Seunghyun,이승현,승리,12/12/1990,,South Korea,176,60,Gwangju,M,
Leeteuk,Park Jeongsu,박정수,이특,7/1/1983,Super Junior,South Korea,179,59,Seoul,M,
Heechul,Kim Heechul,김희철,희철,7/10/1983,Super Junior,South Korea,179,60,Hoengseong,M,
Yesung,Kim Jongwoon,김종운,예성,8/24/1984,Super Junior,South Korea,178,64,Seoul,M,
Kangin,Kim Youngwoon,김영운,강인,1/17/1985,,South Korea,178,70,Seoul,M,
Sungmin,Lee Sungmin,이성민,성민,1/1/1986,Super Junior,South Korea,175,57,Gyeonggi,M,
