Stage.Name;Group;ig_name;Followers;Gender.x;Full.Name;Korean.Name;K.Stage.Name;Date.of.Birth;Debut;Company;Country;Height;Weight;Gender.y;age;year.career
Bora;CHERRY BULLET;color_of_bora;53052;Girl;Kim Bora;김보라;보라;03.03.1999;21.01.2019;FNC;South Korea;NA;NA;F;24;4
Byungchan;VICTON;_c.b.c_1112;2016565;Boy;Choi Byungchan;최병찬;병찬;12.11.1997;09.11.2016;Plan A;South Korea;NA;NA;M;25;6
Chaebin;NATURE;yub_in_out;7476;Girl;Choi Yoobin;최유빈;채빈;28.07.1999;03.08.2018;n.CH;South Korea;NA;NA;F;23;4
Chaejeong;ALICE;chaerishxx;20562;Girl;Lee Chaejeong;이채정;채정;26.08.1999;01.07.2017;IOK Company;South Korea;164;48;F;23;6
Chaerin;CHERRY BULLET;chaerin_0313;39052;Girl;Park Chaerin;박채린;채린;13.03.2002;21.01.2019;FNC;South Korea;NA;NA;F;21;4
Chaewon;LE SSERAFIM;_chaechae_1;6162880;Girl;Kim Chaewon;김채원;채원;01.08.2000;02.05.2022;Source;South Korea;NA;NA;F;22;1
Chaeyeon;IZ*ONE;chaestival_;2213645;Girl;Lee Chaeyeon;이채연;채연;11.01.2000;29.10.2018;Off The Record;South Korea;NA;NA;F;23;4
Chaeyoung;FROMIS_9;c.young__0514;522877;Girl;Lee Chaeyoung;이채영;채영;14.05.2000;24.01.2018;Off The Record;South Korea;NA;NA;F;23;5
Chaeyoung;TWICE;chaeyo.0;8858825;Girl;Son Chaeyoung;손채영;채영;23.04.1999;20.10.2015;JYP;South Korea;159;NA;F;24;7
Chan;A.C.E;chan_fficial;38718;Boy;Kang Yoochan;강유찬;찬;31.12.1997;23.05.2017;Beat;South Korea;NA;NA;M;25;6
Changsub;BTOB;lee_cs_btob;98726;Boy;Lee Changsub;이창섭;창섭;26.02.1991;21.03.2012;Cube;South Korea;177;64;M;32;11
Changsun;24K;24k_changsunny;78478;Boy;Lee Changsun;이창선;창선;17.03.1996;06.09.2012;Choeun;South Korea;179;58;M;27;10
Chanmi;AOA;chanmi_96a;498678;Girl;Kim Chanmi;김찬미;찬미;19.06.1996;30.07.2012;FNC;South Korea;166;47;F;27;10
Chansung;2PM;hwang_chan222;316014;Boy;Hwang Chansung;황찬성;찬성;11.02.1990;04.07.2008;JYP;South Korea;184;75;M;33;15
Chanyeol;EXO;real__pcy;24056706;Boy;Park Chanyeol;박찬열;찬열;27.11.1992;08.04.2012;SM;South Korea;185;70;M;30;11
Chiayi;FANATICS;chiayilee_;5591;Girl;Li Chiayi;지아이;지아이;22.01.2000;06.08.2019;FENT;Taiwan;164;NA;F;23;3
Choa;CRAYON POP;minjinchoa;57592;Girl;Heo Minjin;허민진;초아;12.07.1990;18.07.2012;Chrome;South Korea;161;NA;F;33;11
Choerry;LOONA;cher_ryppo;23906;Girl;Choi Yerim;최예림;최리;04.06.2001;20.08.2018;Blockberry;South Korea;NA;NA;F;22;4
Chorong;APINK;mulgokizary;1008659;Girl;Park Chorong;박초롱;초롱;03.03.1991;19.04.2011;Plan A;South Korea;165;NA;F;32;12
CNU;B1A4;realcnu;279558;Boy;Shin Dongwoo;신동우;신우;16.06.1991;19.04.2010;WM;South Korea;182;64;M;32;13
D.ana;SONAMOO;_rlooh;7657;Girl;Cho Eunae;조은애;디애나;10.09.1995;29.12.2014;TS;South Korea;170;NA;F;27;8
Daehyun;B.A.P;official_jdh;741172;Boy;Jung Daehyun;정대현;대현;28.06.1993;27.01.2012;TS;South Korea;177;63;M;30;11
Daeun;2EYES;da.ni_jung;101954;Girl;Jung Daeun;정다은;정다은;03.06.1994;20.07.2013;SidusHQ;South Korea;161;NA;F;29;10
Dahyun;TWICE;dahhyunnee;8081245;Girl;Kim Dahyun;김다현;다현;28.05.1998;20.10.2015;JYP;South Korea;165;NA;F;25;7
Dakyung;HI-L;dapopo_7;1129;Girl;Jung Dakyung;정다경;다경;23.07.2001;11.08.2021;Kpop Live;South Korea;NA;NA;F;22;1
Dami;DREAMCATCHER;00ld_ami;364197;Girl;Lee Yoobin;이유빈;다미;07.03.1997;13.01.2017;Happy Face;South Korea;163;NA;F;26;6
Dawon;SF9;dwww_w_;571988;Boy;Lee Sanghyuk;이상혁;다원;24.07.1995;05.10.2016;FNC;South Korea;NA;NA;M;28;6
Dawon;WJSN;dawon_hae27;3016;Girl;Nam Dawon;남다원;다원;16.03.1997;25.02.2016;Starship;South Korea;167;NA;F;26;7
Dayoung;WJSN;dayomi99;55874;Girl;Im Dayoung;임다영;다영;14.05.1999;25.02.2016;Starship;South Korea;161;NA;F;24;7
Dino;SEVENTEEN;feat.dino;3642833;Boy;Lee Chan;이찬;디노;11.02.1999;26.05.2015;Pledis;South Korea;167;54;M;24;8
DK;SEVENTEEN;dk_is_dokyeom;4883637;Boy;Lee Seongmin;이석민;도겸;18.02.1997;26.05.2015;Pledis;South Korea;178;68;M;26;8
Do-A;ALICE;negabaroyoona;66459;Girl;Choi Yuna;최윤아;도아;02.02.1999;01.07.2017;IOK Company;South Korea;NA;NA;F;24;6
Doah;FANATICS;lcirndxah;311691;Girl;Kim Doah;김도아;도아;04.12.2003;06.08.2019;FENT;South Korea;163;42;F;19;3
Donghae;SUPER JUNIOR;leedonghae;7138398;Boy;Lee Donghae;이동해;동해;15.10.1986;06.11.2005;SM;South Korea;176;60;M;36;17
Donghun;A.C.E;bldhue;69246;Boy;Lee Donghun;이동훈;동훈;15.05.1993;23.05.2017;Beat;South Korea;NA;NA;M;30;6
Donghyun;BOYFRIEND;boy_e.black;210857;Boy;Kim Donghyun;김동현;동현;12.02.1989;26.05.2011;Starship;South Korea;178;60;M;34;12
Dongwoo;INFINITE;ddong_gg0;62791;Boy;Jang Dongwoo;장동우;동우;22.11.1990;09.06.2010;Woollim;South Korea;171;58;M;32;13
Doojoon;HIGHLIGHT;beeeestdjdjdj;1617496;Boy;Yoon Doojoon;윤두준;두준;04.07.1989;14.10.2009;Around Us;South Korea;177;66;M;34;13
Dowoon;DAY6;d.ddablue;1135625;Boy;Yoon Dowoon;윤도운;도운;25.08.1995;07.09.2015;JYP;South Korea;NA;NA;M;27;7
Doyeon;WEKI MEKI;lafilledhiver_;1420030;Girl;Kim Doyeon;김도연;도연;04.12.1999;08.08.2017;Fantagio;South Korea;NA;NA;F;23;5
Doyoung;NCT;do0_nct;11679382;Boy;Kim Dongyoung;김동영;도영;01.02.1996;09.04.2016;SM;South Korea;NA;NA;M;27;7
E-Young;AFTER SCHOOL;e_young0816;69827;Girl;Noh Yiyoung;노이영;이영;16.08.1992;15.01.2009;Pledis;South Korea;NA;NA;F;30;14
EJ;ALICE;ejneuneunjineunej;19092;Girl;Kim Eunji;김은지;이제이;13.08.1997;01.07.2017;IOK Company;South Korea;164;47;F;25;6
Ellin;CRAYON POP;hiellin;133912;Girl;Kim Minyoung;김민영;엘린;02.04.1990;18.07.2012;Chrome;South Korea;165;44;F;33;11
Elly;WEKI MEKI;_haerimida;164017;Girl;Jung Haerim;정해림;엘리;20.07.1998;08.08.2017;Fantagio;South Korea;NA;NA;F;25;5
Euijin;SONAMOO;_hongeuijin_;76353;Girl;Hong Euijin;홍의진;의진;08.10.1996;29.12.2014;TS;South Korea;168;NA;F;26;8
Eunbi;IZ*ONE;silver_rain.__;2055521;Girl;Kwon Eunbi;권은비;은비;27.09.1995;29.10.2018;Off The Record;South Korea;NA;NA;F;27;4
Eunbin;CLC;superb_ean;888517;Girl;Kwon Eunbin;권은빈;은빈;06.01.2000;19.03.2015;Cube;South Korea;167;48;F;23;8
Eunchae;DIA;silver_chae_526;106509;Girl;Kwon Chaewon;권채원;은채;26.05.1999;14.07.2015;MBK;South Korea;NA;NA;F;24;8
Eunchae;LE SSERAFIM;hhh.e_c.v;3495608;Girl;Hong Eunchae;홍은채;은채;10.11.2006;02.05.2022;Source;South Korea;172;NA;F;16;1
Eunha;VIVIZ;rlo.ldl;1855917;Girl;Jung Eunbi;정은비;은하;30.05.1997;09.02.2022;Big Planet Made;South Korea;163;NA;F;26;1
Eunice;DIA;e.heomer;53992;Girl;Heo Sooyeon;허수연;유니스;02.09.1991;14.07.2015;MBK;South Korea;166;49;F;31;8
Eunji;APINK;artist_eunji;2597797;Girl;Jung Eunji;정은지;은지;18.08.1993;19.04.2011;Plan A;South Korea;163;NA;F;29;12
Eunji;BRAVE GIRLS;bg_eunji92;517344;Girl;Hong Eunji;홍은지;은지;19.07.1992;08.04.2011;Brave;South Korea;NA;NA;F;31;12
Eunjung;T-ARA;eunjung.hahm;913663;Girl;Ham Eunjung;함은정;은정;12.12.1988;29.07.2009;MBK;South Korea;167;47;F;34;13
Eunkwang;BTOB;btob_silver_light;1053513;Boy;Seo Eunkwang;서은광;은광;22.11.1990;21.03.2012;Cube;South Korea;173;62;M;32;11
Eunseo;WJSN;_eunseo_v;745723;Girl;Son Juyeon;손주연;은서;27.05.1998;25.02.2016;Starship;South Korea;167;NA;F;25;7
Eunwoo;ASTRO;eunwo.o_c;36175751;Boy;Cha Eunwoo;차은우;은우;30.03.1997;23.02.2016;Fantagio;South Korea;NA;NA;M;26;7
Eunwoo;HINAPIA;j_e_w_w_w;90661;Girl;Jeong Eunwoo;정은우;은우;01.07.1998;03.11.2019;Alseulbit;South Korea;167;48;F;25;3
Exy;WJSN;exy_s2;726651;Girl;Chu Sojung;추소정;엑시;06.11.1995;25.02.2016;Starship;South Korea;166;NA;F;27;7
Gahyeon;DREAMCATCHER;fox._.zzlo_;347262;Girl;Lee Gahyeon;이가현;가현;03.02.1999;13.01.2017;Happy Face;South Korea;NA;NA;F;24;6
Gain;BROWN EYED GIRLS;songain87;369552;Girl;Son Gain;손가인;가인;20.09.1987;02.03.2006;Mystic;South Korea;NA;NA;F;35;17
Gikwang;HIGHLIGHT;gttk0000;1183102;Boy;Lee Gikwang;이기광;기광;30.03.1990;14.10.2009;Around Us;South Korea;171;58;M;33;13
Gongchan;B1A4;gongchanida;369268;Boy;Gong Chansik;공찬식;공찬;14.08.1993;19.04.2010;WM;South Korea;181;60;M;29;13
Gowon;LOONA;novvog;18222;Girl;Park Chaewon;박채원;고원;19.11.2000;20.08.2018;Blockberry;South Korea;NA;NA;F;22;4
Gowoon;BERRY GOOD;gowoon_m111;60851;Girl;Moon Yujeong;문유정;고운;18.12.1998;21.05.2014;Asia Bridge;South Korea;167;NA;F;24;9
Gunmin;B.I.G;big_gunmin1003;152719;Boy;Lee Gunmin;이건민;건민;03.10.1994;09.07.2014;GH;South Korea;177;64;M;28;9
Haebin;GUGUDAN;haebeeni_;47114;Girl;Han Haebin;한해빈;해빈;16.08.1995;28.06.2016;Jellyfish;South Korea;NA;NA;F;27;7
Haechan;NCT;haechanahceah;6987487;Boy;Lee Donghyuk;이동혁;해찬;06.06.2000;09.04.2016;SM;South Korea;NA;NA;M;23;7
Haein;LABOUM;hhae_in_;80806;Girl;Yeom Haein;염해인;해인;19.05.1995;27.08.2014;NH;South Korea;162;45;F;28;8
Haeun;3YE;uppereun_y;43153;Girl;Yoon Haeun;윤하은;하은;12.03.1999;21.05.2019;GH;South Korea;163;NA;F;24;4
Haeyoon;CHERRY BULLET;h.yoooni;40392;Girl;Park Haeyoon;박해윤;해윤;10.01.1996;21.01.2019;FNC;South Korea;157;43;F;27;4
Hana;GUGUDAN;allbyhana;95453;Girl;Shin Bora;신보라;하나;30.04.1993;28.06.2016;Jellyfish;South Korea;NA;NA;F;30;7
Handong;DREAMCATCHER;0.0_handong;343293;Girl;Han Dong;한동;한동;26.03.1996;13.01.2017;Happy Face;China;NA;NA;F;27;6
Hangyeom;OMEGA X;0_1_gyeom;56581;Boy;Song Hangyeom;송한겸;한겸;17.07.1996;17.10.2016;JT Corea;South Korea;NA;NA;M;27;6
Hani;EXID;ahnhani_92;4632988;Girl;Ahn Hee-yeon;안희연;하니;01.05.1992;16.02.2012;Yedang;South Korea;168;NA;F;31;11
Harin;PINK FANTASY;harin_official_md;18645;Girl;Park Guenhye;박근혜;하린;26.05.2000;28.10.2018;My Doll;South Korea;164;48;F;23;4
Haseul;LOONA;withaseul;17617;Girl;Jo Haseul;조하슬;하슬;18.08.1997;20.08.2018;Blockberry;South Korea;NA;NA;F;25;4
Hayoung;APINK;_ohhayoung_;1006934;Girl;Oh Hayoung;오하영;하영;19.07.1996;19.04.2011;Plan A;South Korea;167;NA;F;27;12
Hayoung;FROMIS_9;shy9_29;653437;Girl;Song Hayoung;송하영;하영;29.09.1997;24.01.2018;Off The Record;South Korea;NA;NA;F;25;5
Heechul;SUPER JUNIOR;kimheenim;5595526;Boy;Kim Heechul;김희철;희철;10.07.1983;06.11.2005;SM;South Korea;179;60;M;40;17
Heedo;B.I.G;yoo_heedo96;149603;Boy;Yoon Heedo;유희도;희도;22.04.1996;09.07.2014;GH;South Korea;180;60;M;27;9
High.D;SONAMOO;d0hee___;11142;Girl;Kim Dohee;김도희;하이디;21.12.1996;29.12.2014;TS;South Korea;165;NA;F;26;8
Hitomi;IZ*ONE;10_hitomi_06;1525912;Girl;Honda Hitomi;혼다 히토미;히토미;06.10.2001;29.10.2018;Off The Record;Japan;NA;NA;F;21;4
Hongseok;PENTAGON;_hongseokie;692023;Boy;Yang Hongseok;양홍석;홍석;17.04.1994;10.10.2016;Cube;South Korea;NA;NA;M;29;6
Hoshi;SEVENTEEN;ho5hi_kwon;5471781;Boy;Kwon Soonyoung;권순영;호시;15.06.1996;26.05.2015;Pledis;South Korea;178;63;M;27;8
Hui;PENTAGON;huitag_me;229187;Boy;Lee Hwitaek;이회택;후이;28.08.1993;10.10.2016;Cube;South Korea;NA;NA;M;29;6
Hwasa;MAMAMOO;_mariahwasa;8829733;Girl;Ahn Hyejin;안혜진;화사;23.07.1995;18.06.2014;RBW;South Korea;162;44;F;28;9
Hweseung;N.FLYING;hweng_star;283235;Boy;Yoo Hweseung;유회승;회승;28.02.1995;20.05.2015;FNC;South Korea;NA;NA;M;28;8
Hyangsuk;2EYES;e_gawon_e;10349;Girl;Lee Hyangsuk;이향숙;향숙;24.04.1991;20.07.2013;SidusHQ;South Korea;165;NA;F;32;10
Hyebin;MOMOLAND;hyebinmm;355047;Girl;Lee Hyebin;이혜빈;혜빈;12.01.1996;09.11.2016;Double Kick;South Korea;165;44;F;27;6
Hyejeong;AOA;dongdong810;562376;Girl;Shin Hyejeong;신혜정;혜정;10.08.1993;30.07.2012;FNC;South Korea;170;48;F;29;10
Hyemi;9MUSES;pyopyohyemi;109027;Girl;Pyo Hyemi;표혜미;혜미;03.04.1991;12.08.2010;Star Empire;South Korea;171;46;F;32;12
Hyeri;GIRL'S DAY;hyeri_0609;7811045;Girl;Lee Hyeri;이혜리;혜리;09.06.1994;09.07.2010;DreamT;South Korea;167;46;F;29;13
Hyerin;EXID;hyeliniseo;991944;Girl;Seo Hyerin;서혜린;혜린;23.08.1993;16.02.2012;Yedang;South Korea;165;NA;F;29;11
Hyewon;IZ*ONE;hyemhyemu;2108261;Girl;Kang Hyewon;강혜원;혜원;05.07.1999;29.10.2018;Off The Record;South Korea;NA;NA;F;24;4
Hyeyeon;BESTIE;yoni2_;120428;Girl;Kang Hyeyeon;강혜연;혜연;08.12.1990;11.07.2013;YNB;South Korea;NA;NA;F;32;10
Hyojung;OH MY GIRL;candyz_hyojung;645628;Girl;Choi Hyojung;최효정;효정;28.07.1994;21.04.2015;WM;South Korea;160;46;F;28;8
Hyomin;T-ARA;hyominnn;3600844;Girl;Park Sunyoung;박선영;효민;30.05.1989;29.07.2009;MBK;South Korea;167;43;F;34;13
Hyuk;OMEGA X;hyuk.71;55988;Boy;Yang Hyuk;양혁;혁;15.03.2000;17.10.2016;JT Corea;South Korea;183;67;M;23;6
Hyuk;VIXX;hsh0705;524063;Boy;Han Sanghyuk;한상혁;혁;05.07.1995;24.05.2012;Jellyfish;South Korea;181;62;M;28;11
Hyukjin;100%;100per_hj;33016;Boy;Jang Hyukjin;장혁진;혁진;20.12.1993;18.09.2012;TOP Media;South Korea;NA;NA;M;29;10
Hyungwon;MONSTA X;coenffl;1845947;Boy;Chae Hyungwon;채형원;형원;15.01.1994;14.05.2014;Starship;South Korea;NA;NA;M;29;9
Hyunjoo;UNI.T;hyun.joo_lee;189726;Girl;Lee Hyunjoo;이현주;현주;05.02.1998;18.05.2018;Unit Culture;South Korea;NA;NA;F;25;5
Hyunsik;BTOB;imhyunsik;926185;Boy;Lim Hyunsik;임현식;현식;07.03.1992;21.03.2012;Cube;South Korea;177;66;M;31;11
Ilhoon;BTOB;ilhoonmj;839468;Boy;Jung Ilhoon;정일훈;일훈;04.10.1994;21.03.2012;Cube;South Korea;176;64;M;28;11
Inseong;SF9;pum.castle;337516;Boy;Kim Inseong;김인성;인성;12.07.1993;05.10.2016;FNC;South Korea;NA;NA;M;30;6
Irene;RED VELVET;renebaebae;11113475;Girl;Bae Juhyun;배주현;아이린;29.03.1991;01.08.2014;SM;South Korea;161;NA;F;32;8
J-Hoon;B.I.G;jhoonstyle;83167;Boy;Lim Junghoon;임정훈;제이훈;15.07.1990;09.07.2014;GH;South Korea;172;62;M;33;9
J-Hope;BTS;uarmyhope;45880758;Boy;Jung Hoseok;정호석;제이홉;18.02.1994;13.06.2013;Big Hit;South Korea;177;65;M;29;10
J.seph;KARD;j.seph_;1653959;Boy;Kim Taehyung;김태형;제이셉;21.06.1992;29.03.2007;DSP;South Korea;NA;NA;M;31;16
Jackson;GOT7;jacksonwang852g7;32016901;Boy;Jackson Wang;잭슨 왕;잭슨;28.03.1994;16.01.2014;JYP;Hong Kong;174;63;M;29;9
Jacob;VAV;jacob.vav;30074;Boy;Zhang Peng;장펑;제이콥;07.09.1996;31.10.2015;A team;China;184;63;M;26;7
Jae;DAY6;eajpark;1441270;Boy;Park Jaehyung;박제형;제이;15.09.1992;07.09.2015;JYP;South Korea;NA;NA;M;30;7
Jaehan;OMEGA X;jaehan__k;212434;Boy;Kim Jaehan;김재한;재한;01.07.1995;17.10.2016;JT Corea;South Korea;NA;NA;M;28;6
Jaehyo;BLOCK B;bbjhyo;22154;Boy;Ahn Jaehyo;안재효;재효;23.12.1990;15.04.2011;KQ;South Korea;182;60;M;32;12
Jaehyun;N.FLYING;_.kimjaehyun._;493614;Boy;Kim Jaehyun;김재현;재현;15.07.1994;20.05.2015;FNC;South Korea;NA;NA;M;29;8
Jaehyun;NCT;_jeongjaehyun;14585953;Boy;Jung Yoonoh;정윤오;재현;14.02.1997;09.04.2016;SM;South Korea;NA;NA;M;26;7
Jaejoong;JYJ;jj_1986_jj;1934817;Boy;Kim Jaejoong;김재중;재중;26.01.1986;08.09.2010;C-JeS;South Korea;NA;NA;M;37;12
Jaemin;NCT;na.jaemin0813;12480330;Boy;Na Jaemin;나재민;재민;13.08.2000;09.04.2016;SM;South Korea;NA;NA;M;22;7
Jangjun;GOLDEN CHILD;jangjun_jjangsexyhotcute;23979;Boy;Lee Jangjun;이장준;장준;03.03.1997;28.08.2017;Woollim;South Korea;NA;NA;M;26;5
JB;GOT7;jaybnow.hr;6875584;Boy;Im Jaebum;임재범;제이비;06.01.1994;16.01.2014;JYP;South Korea;179;63;M;29;9
Jehyun;OMEGA X;pblm._.m;53967;Boy;Moon Jehyun;문제현;제현;20.04.1999;17.10.2016;JT Corea;South Korea;NA;NA;M;24;6
Jennie;BLACKPINK;jennierubyjane;78527157;Girl;Kim Jennie;김제니;제니;16.01.1996;08.08.2016;YG;South Korea;163;50;F;27;6
Jeonghan;SEVENTEEN;jeonghaniyoo_n;5119723;Boy;Yoon Jeonghan;윤정한;정한;04.10.1995;26.05.2015;Pledis;South Korea;175;54;M;27;8
Jeongyeon;TWICE;jy_piece;7215888;Girl;Yoo Jeongyeon;유정연;정연;01.11.1996;20.10.2015;JYP;South Korea;168;NA;F;26;7
Jiae;LOVELYZ;9.3.0521;136957;Girl;Yoo Jiae;유지애;지애;21.05.1993;17.11.2014;Woollim;South Korea;163;43;F;30;8
Jiae;WASSUP;ji.aee;99111;Girl;Kim Jiae;김지애;지애;31.10.1995;07.08.2013;Mafia;South Korea;NA;NA;F;27;9
Jiheon;FROMIS_9;jihoney_bb;697177;Girl;Baek Jiheon;백지헌;지헌;17.04.2003;24.01.2018;Off The Record;South Korea;NA;NA;F;20;5
Jihyo;TWICE;_zyozyo;8786200;Girl;Park Jisoo;박지수;지효;01.02.1997;20.10.2015;JYP;South Korea;162;NA;F;26;7
Jimin;BTS;j.m;49385614;Boy;Park Jimin;박지민;지민;13.10.1995;13.06.2013;Big Hit;South Korea;175;61;M;27;10
Jin;BTS;jin;45165530;Boy;Kim Seokjin;김석진;진;04.12.1992;13.06.2013;Big Hit;South Korea;179;63;M;30;10
Jinho;PENTAGON;jinhogwarts;252607;Boy;Jo Jinho;조진호;조진호;17.04.1992;10.10.2016;Cube;South Korea;NA;NA;M;31;6
Jinyoung;GOT7;jinyoung_0922jy;9876211;Boy;Park Jinyoung;박진영;진영;22.09.1994;16.01.2014;JYP;South Korea;178;63;M;28;9
Jisoo;BLACKPINK;sooyaaa__;72397050;Girl;Kim Jisoo;김지수;지수;03.01.1995;08.08.2016;YG;South Korea;162;45;F;28;6
Jisoo;LOVELYZ;jeezepizza;145099;Girl;Seo Jisoo;서지수;지수;11.02.1994;17.11.2014;Woollim;South Korea;165;46;F;29;8
Jisun;FROMIS_9;ro.x_rhz;474733;Girl;Roh Jisun;노지선;지선;23.11.1998;24.01.2018;Off The Record;South Korea;NA;NA;F;24;5
Jiwon;CHERRY BULLET;jiwxoxni;96271;Girl;Heo Jiwon;허지원;지원;04.09.2000;21.01.2019;FNC;South Korea;NA;NA;F;22;4
Jiwon;FROMIS_9;xjiwonparkx;469096;Girl;Park Jiwon;박지원;지원;20.03.1998;24.01.2018;Off The Record;South Korea;NA;NA;F;25;5
Jiyeon;T-ARA;jiyeon2__;5018813;Girl;Park Jiyeon;박지연;지연;07.06.1993;29.07.2009;MBK;South Korea;167;45;F;30;13
Johnny;NCT;johnnyjsuh;9561190;Boy;John Seo;존 서;쟈니;09.02.1995;09.04.2016;SM;USA;NA;NA;M;28;7
Johyun;BERRY GOOD;____jjjjohyuns;676415;Girl;Shin Jiwon;신지원;조현;14.04.1996;21.05.2014;Asia Bridge;South Korea;NA;NA;F;27;9
Jonghwan;100%;jonghwaan;39045;Boy;Jo Jonghwan;조종환;종환;23.11.1992;18.09.2012;TOP Media;South Korea;NA;NA;M;30;10
Jongup;B.A.P;moonjongyeup;522061;Boy;Moon Jongup;문종업;종업;06.02.1995;27.01.2012;TS;South Korea;176;66;M;28;11
Joochan;GOLDEN CHILD;__jootopia__;19236;Boy;Hong Joochan;홍주찬;주찬;31.07.1999;28.08.2017;Woollim;South Korea;NA;NA;M;23;5
Joshua;SEVENTEEN;joshuahong951230;6463871;Boy;Hong Jisoo;홍지수;조슈아;30.12.1995;26.05.2015;Pledis;USA;176;63;M;27;8
Joy;RED VELVET;_imyour_joy;14543633;Girl;Park Sooyoung;박수영;조이;03.09.1996;01.08.2014;SM;South Korea;163;NA;F;26;8
JR;NU'EST;pockyjr;1160316;Boy;Kim Jonghyun;김종현;제이알;08.06.1995;15.03.2012;Pledis;South Korea;NA;NA;M;28;11
Ju-ne;IKON;juneeeeeeya;2893796;Boy;Koo Junhoe;구준회;준회;31.03.1997;15.09.2015;YG;South Korea;NA;NA;M;26;7
Jueun;DIA;jusilver_67;17997;Girl;Lee Jooeun;이주은;주은;07.07.1995;14.07.2015;MBK;South Korea;NA;NA;F;28;8
Jun;A.C.E;ocean__park;47258;Boy;Park Junhee;박준희;준;02.06.1994;23.05.2017;Beat;South Korea;NA;NA;M;29;6
Jun;SEVENTEEN;junhui_moon;4177907;Boy;Weng Junhui;원쥔훼이;준;10.06.1996;26.05.2015;Pledis;China;180;63;M;27;8
Junghoon;OMEGA X;junghoon_214;54749;Boy;Han Jeonghoon;한정훈;정훈;14.02.2000;17.10.2016;JT Corea;South Korea;177;61;M;23;6
Junghwa;EXID;jeonghwa_0508;1166912;Girl;Park Junghwa;박정화;정화;08.05.1995;16.02.2012;Yedang;South Korea;169;NA;F;28;11
Jungwoo;BVNDIT;xx942xx__;9029;Girl;Uhm Jungwoo;엄정우;정우;02.04.1999;10.04.2019;MNH;South Korea;NA;NA;F;24;4
Junho;2PM;le2jh;2803634;Boy;Lee Junho;이준호;준호;25.01.1990;04.07.2008;JYP;South Korea;178;67;M;33;15
